Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
47,8985.159795934504,7645.999441294207,7143.634734582777,7077.979136040248,127113.99714286822,138162.43381106184,5968.786558807083,7683.387056939117,7627.4061600478835 
48,7204.547009323583,18629.60884368192,17998.78142732382,18106.933452121913,125433.15046805686,134908.5021963387,16669.060933715104,18331.570753026383,17384.373651667356 
49,11598.678973226837,15187.83462623098,14983.260539692723,15010.535228062607,123194.6847086396,131142.1359847348,13315.050820600614,15179.557482047752,14126.910549110919 
50,7298.746478918827,7400.97541533245,7323.147252911702,6919.513593230071,120052.13850076198,127955.85849780441,6045.081105766818,7411.583905385434,7438.77382157729 
51,9610.213074539646,10260.452670661318,10384.726196502852,10081.42092534192,117519.53932820857,123962.77466028929,8203.847500060312,10659.487581700645,9733.877887171693 
52,7560.183889215643,10294.376208304944,10145.814091968661,9038.368545338511,114532.37509330474,120939.43366670609,9816.210089195567,9662.178450962714,10694.055673989653 
53,8959.57899093628,6316.227372670546,6053.958363925831,5377.297275613435,108904.28440723121,114031.70568386614,5426.299419504032,6095.2843381786715,6670.476110706106 
54,6154.148613322865,11419.532701762393,11275.026517642247,10327.654567283764,105548.2881005528,113282.33506677672,10316.81822137069,10440.322600460286,10898.154402860255 
55,6165.996381008264,5726.9409853582165,5543.5389757489575,4715.643638460897,104944.56209697407,109659.55092027709,4861.689859485673,5450.404385265708,5971.573969453015 
56,7108.060868581136,21708.605330401046,22527.221287867676,19748.658552760862,101511.49560433076,107201.39372009411,19373.431896551556,19017.490605846277,19984.07156684664 
57,6350.8234515334625,5504.150850392102,5494.219246549532,4867.8784080524465,105183.89685844444,107494.12552513256,4605.734402885102,5259.252812637016,5417.367690186203 
58,5545.819987672748,4443.413408944176,4175.306279271634,3742.907411853271,102623.70473934802,104990.12629901692,3486.4682488370686,4390.102197894082,4508.704344938323 
59,4474.329985994281,4645.842633750134,4487.978537442836,3725.6955895174297,103761.20670233351,103715.14414101839,3839.3120155506303,4373.720239062235,4446.972255619988 
60,4771.255660779549,4517.427461676351,4446.980571421691,3963.672848481685,99930.8319089444,100364.00053722113,3717.280349413492,4453.4667418295985,4589.102038332634 
61,8098.892589048905,23153.676187811627,22290.8116290561,22118.92378560342,104231.00362214279,101376.70038935877,22353.609706864692,23031.660818675533,21669.2317029126 
62,8077.020938468702,8817.909941002106,8237.003936581728,8258.211455946603,96855.15389417419,95718.41926221289,7448.965371541725,8644.914958721818,8291.092163817211 
63,7110.818192453095,7841.977227238317,7332.394299027406,7330.910484647053,98853.84019781243,96428.69010403156,7075.240142413042,8143.593100123666,7568.500395486457 
64,5221.556696747289,3457.8422144578976,3300.4633633906747,2870.5849857667927,97549.94932196605,92810.8066855712,2713.38051642105,3429.3515665415675,3566.2560483437032 
65,5845.169253782792,3741.209880383892,3536.8108773277036,3179.955427164864,95949.31091349307,92659.5456531342,3043.21628229958,3738.0221405355724,3906.359506995976 
66,4548.76382856658,5674.415808122398,5211.410838317333,5220.083294783719,95911.42025249712,91930.4959664219,5199.485437223315,6084.262847866305,5744.911448490992 
67,3887.0416207747026,6046.800558190585,5850.6921226013865,5770.237428344413,93496.84836855583,89376.45962258913,5132.79677392561,6214.929143289104,5950.509852433019 
68,4974.350114302201,2997.0540957186477,2924.4180314797495,2533.7127563328017,94189.90545492545,88729.52846429429,2266.167450165376,3072.796173315123,3137.5434455181007 
