Dataset,expression
obsv,((((d * (d - 1.1555331)) - -1.8039845) + a) * d) + exp(a)
intv,(d * ((d + -1.0771673) * d)) - (cos(-0.7144289) * (exp(a) * (-20.690853 + c)))
ood,((((-14.094387 + ((d * d) + a)) - sin(a)) + a) * d) - -61.055935
ood_intv,20.606348 + ((d ^ 2.9588954) + (exp(a) / sqrt((1.1796228 ^ c) ^ b)))
diff_mod,(((-85.64832 + (d * 14.632854)) * (d + a)) - -182.7444) + b
diff_mod_rand,((d * ((d / (1.0298002 ^ c)) * d)) / (0.8797908 ^ a)) + (1.33002 ^ c)
