Dataset,expression
obsv,(((((d * d) + a) - d) * d) + exp(a)) + 2.322648
intv,(d * (((d * d) - -0.4134287) - (d - a))) + exp(a)
ood,((exp(sin(d)) * c) * 1.9422779) + (exp(b / 0.70932055) + 156.29657)
ood_intv,((((49.82325 + (1.7999451 ^ d)) - ((-16.301167 - c) / b)) + -11.063616) / 0.3321859) - 1.1141952
diff_mod,(d * (((d * d) - d) + a)) + exp(a)
diff_mod_rand,(d * (((d * d) + a) - d)) + exp(a)
