Dataset,expression
obsv,((d ^ 2.9689057) + (c * (a + 0.9645356))) + -34.04576
intv,(c / 0.372935) + (((d + b) / 0.8160126) * (b * d))
ood,(c + c) + ((d * (sqrt(d * 1009.0489) + (cos(d) * -1.6545639))) - 255.00903)
ood_intv,(((88.10556 * (b + (1.2408028 ^ d))) + (10.955813 * a)) + -375.51743) - 5.818442
diff_mod,(2.637678 * (b * ((b + 1.286096) * d))) + (((c + 33.804417) + a) * a)
diff_mod_rand,c + (((171.07962 * b) + -1109.8628) + (117.575455 * d))
