Deep,Scaling,Intv,C_D,Independent,Simple,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss,best_epoch 
False,Raw_data,False,False,False,False,0.0076013689571427,0.0135753345163822,0.0125211612107199,0.0128114980715636,7.545832117679109,6.236871772310595,756.0425044244583,0.0130538604735593,115.95549422554367,0.0070724877486663,973.0
False,Raw_data,True,False,False,False,0.0128931597750069,0.0412131492001228,0.0442436811169985,0.0493708689389535,6.181110638080627,0.0375311691047682,0.5214379942505694,0.0202835414990313,0.0577129905423425,0.0123043231834817,962.0
False,Raw_data,True,True,False,False,0.0163256261695289,0.035870746872406,0.0538848139212677,0.0515545278625101,17.598046906000775,0.0338970456624883,0.4188547658607858,0.0302019377381893,0.0402319911860104,0.0127253614799701,981.0
False,Raw_data,False,False,True,False,0.0227354159014243,0.0835238927506967,0.0781057710785535,0.0961869290675895,92.35526148293192,0.0482334719501232,0.1073477790502293,0.0932629092970746,0.0809726490994689,0.0323173797680719,980.0
False,Raw_data,False,False,True,True,0.0030354540706894,0.0031922135292269,0.003175437189776,0.0028508135861957,74.5450459719922,0.0028016799540946,0.0031453051887001,0.0036350811853226,0.003335642792399,0.0026429939120589,995.0
False,Raw_data,False,False,False,True,0.0029506423055532,0.004178205913896,0.0034575088937567,0.0039096820123959,10.859459244287786,0.0034707314281968,0.0032077460387972,0.0038495307051889,0.0035576168863335,0.0036697531146946,867.0
False,MinMax,False,False,False,False,0.0013760982961229,0.0019087318624136,0.002253459181245,0.0020909716107233,49.61937628133145,78.45886650281784,371.9391732644779,0.0021280555961687,78.61862550871955,0.0012282172117127,961.0
False,MinMax,True,False,False,False,0.0044908159653653,0.0117469844203162,0.0161977797339583,0.0150573440258932,56.41025043610036,0.0250948261120926,0.4510308019544654,0.0055779959918068,0.0124218803430117,0.0030079007446759,943.0
False,MinMax,True,True,False,False,0.0030470090745199,0.0063771220890133,0.0072935919237785,0.0077843896207153,102.36394379362191,0.0068738781843772,0.1695353562122829,0.0048826461883883,0.0079505373159667,0.0020583058887957,978.0
False,MinMax,False,False,True,False,0.0030643571583317,0.0081560357283383,0.007340748653077,0.0087774958408232,204.5731497786181,0.0163854537048518,0.0084174861494133,0.0099236460044956,0.0103647752087634,0.003791209282966,926.0
False,MinMax,False,False,True,True,0.0008104672679499,0.0010220516226474,0.0010623606899425,0.000925360699832,146.99333285030613,0.0011607617218808,0.0009865605722355,0.0009273336245383,0.001075219990359,0.0007872154363783,972.0
False,MinMax,False,False,False,True,0.0005724288842307,0.0006406694602636,0.0007404769133963,0.0010751114614329,49.180906082357794,0.0006851969510372,0.0007472131635356,0.0007473636802838,0.0006810098804755,0.000571484662385,986.0
True,Raw_data,False,False,False,False,0.0038433011451905,0.0043311392396733,0.0043541383280211,0.0045796487909519,61.41698789415865,6.910563912570593,23.609772625039128,0.0044611901332991,6.853782907541576,0.0025905546595986,861.0
True,Raw_data,True,False,False,False,0.0039428492873963,0.0064609529691976,0.0044036044550901,0.0053152195572495,95.56221262732704,0.0047206559828646,0.0441175835747562,0.0036720417323322,0.0047782701161959,0.0019863248138644,970.0
True,Raw_data,True,True,False,False,0.0035740151264083,0.0045421153286366,0.0062936914325837,0.0051617134702692,105.60636845097162,0.0053702763680794,0.092676019328037,0.0045394043111391,0.00515724981948,0.0014957951528704,997.0
True,Raw_data,False,False,True,False,0.0029778431441324,0.0041855917898889,0.0046787870969071,0.0045637796576247,106.20938811457808,0.0047254546087351,0.0033421851992679,0.0044850181200417,0.0054338783860748,0.0018571983878209,987.0
True,Raw_data,False,False,True,True,0.0012293208595965,0.0015583616449293,0.0011077768162977,0.0012480071508816,121.63187975943822,0.0008835618273806,0.0013113901023643,0.0012599867803182,0.0012493949770396,0.0005944514728544,576.0
True,Raw_data,False,False,False,True,0.0022182964347655,0.0024283112512138,0.0020030132767674,0.0027823450413507,70.65931927479568,0.0018333217629296,0.001831343788308,0.0020098021249941,0.0023578444117556,0.0008238364819408,962.0
True,MinMax,False,False,False,False,0.0007029947931922,0.0010443844028931,0.0014424856175984,0.0012876423836498,17.47604452007729,57.25958925811704,158.73551903645256,0.0011855683373111,34.24887586605737,0.0007627725656436,930.0
True,MinMax,True,False,False,False,0.0014435517615239,0.0047946427867708,0.0059455177177467,0.005627305966825,0.8434337627979841,0.0124703440604911,0.1093078037273342,0.0018547278166259,0.0049088314222077,0.0012256511816706,876.0
True,MinMax,True,True,False,False,0.0017674915838978,0.0038918312128892,0.0045939292920571,0.0045700358408591,13.866197798897032,0.0068189276768092,0.1214874454912182,0.0035721681502776,0.0036424343990528,0.0018226099873424,982.0
True,MinMax,False,False,True,False,0.0015457711602327,0.0045490574116101,0.0046713398037851,0.00435544338751,86.73292578258996,0.0048218582136616,0.0045131386407852,0.0048006595299963,0.0057269797600947,0.002020507106417,975.0
True,MinMax,False,False,True,True,0.0004398673946418,0.0004947235377467,0.0005325427274742,0.0004396193542666,76.23542216061658,0.0005032736996943,0.0005083376083329,0.0004497248065428,0.0005339712536799,0.0003716021416865,655.0
True,MinMax,False,False,False,True,0.0003702848615382,0.0003965035505626,0.0004728908240782,0.0005560346531989,97.74148307397483,0.0004077585022308,0.0003849765219053,0.0004686139084041,0.0004782889584975,0.0003545976356168,803.0
