Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,0.0019717049405726128,0.0021647703438992362,6.123287799017866e-05,0.000324934343078502,-0.0004471821760142713,3.852446371721822e-06,-2.000633197899455,0.00011490664969252646,0.198811105688491,0.0002555529279434337,0.000572803342197084
intv,0.004244081960106465,0.007409811542674798,-0.0020282288266593143,0.0009768858750166772,-0.00044064546601475595,6.892647403253272e-05,-1.9899933228262252,0.04838304373163779,0.19977147456547487,7.651281393879512e-05,0.011383036087460118
ood_obsv,-0.0010961875798695272,0.0002503182807609311,-0.0014202262998629525,0.002935220498888907,-0.0008804910007555889,0.00018175690470431514,-2.0001691555683205,0.00016871949399132886,0.2962865920956574,4.618952974561261,0.9244977979479213
ood_intv,-0.0032862349364854984,0.0005038081144135073,0.00011154188830895955,0.0001424815529911386,0.00014903857004801597,1.8729605251971842e-05,-2.000658811279169,0.0002127664467640874,0.19641708082407083,0.0006523770309944496,0.00030603255008303096
diff_mod,0.005878352968430507,0.03855958210046156,0.0004296967979236098,0.00023922190208586824,-0.00018370348905173377,2.869360013576426e-06,-2.0014894020892764,0.0018770239722968683,0.19962176737255058,0.0003766280301083306,0.00821106507299324
rand_mod,0.0012615993859880032,0.00261569744736853,-0.003396116172563635,0.0023668863216026563,-0.0008439575620314587,0.00035675741903339124,-1.9930779966233603,0.00616420497530201,0.20078911898562635,0.0020218977726036793,0.002705088787182053
Total,0.0014955527897904293,0.008593435874442208,-0.0010403499558105252,0.0011661669526417382,-0.0004411568539699657,0.0001056103536250196,-1.9976703143809704,0.00950653838034352,0.21528285658864565,0.771703454248879,0.15821504116198631
Var_of_avg,0.001495552789790427,9.437902845783188e-06,-0.0010403499558105257,1.8952036977788369e-06,-0.0004411568539699655,1.2831872376825923e-07,-1.9976703143809675,1.9760835396078598e-05,0.21528285658864518,0.0013141303927357148
Average_total_variance,0.15821504116198631
