Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,-0.002748632385196079,7.402882889586268e-05,-0.0010078778928715442,2.8384651243362343e-05,0.0002776708217755961,7.920355098552546e-06,-2.000919956565211,5.090072383738193e-05,0.20104927967262803,9.399933577536954e-05,5.1046778970105805e-05
intv,-0.001298085464506382,1.5477404250837362e-05,-0.0004837413666506839,1.1415652884770339e-05,0.000383071873690177,1.0725438405604659e-05,-2.000217990082936,4.609108551284746e-06,0.19991716569490692,4.0118246562675616e-06,9.247885749752933e-06
ood_obsv,-0.0015234227323875844,2.8813097481216635e-05,0.0006244763147977315,7.427805715382759e-06,0.0006154699297805115,8.445838178008982e-06,-2.0002839457381096,2.259555126071074e-05,0.20064285555362768,7.182247754059514e-07,1.3600103482145013e-05
ood_intv,-0.0010117309211762487,1.4232865193828665e-05,0.0013954409653504573,1.9188924489741034e-05,0.0005379373816987938,2.408710202281325e-06,-2.00136641763439,5.903532446305967e-06,0.20044726732195467,1.2509118812538555e-06,8.596988842682169e-06
diff_mod,0.0007688253775647122,0.0025317245858939076,-0.0016395455076586964,0.00015567773342516197,0.0010778000109146818,8.365296910481402e-05,-1.999049858402162,0.00011904046071905568,0.19918985961115468,3.591792273095049e-05,0.0005852027343747781
rand_mod,-0.0030862198128027885,0.0005248409775316422,0.0019121129454362832,0.004557892408373275,0.0020832361695816396,9.679978081906817e-05,-1.998398355473726,0.00031400597101786503,0.20211457500227292,0.00019097708947566976,0.0011369032454435042
Total,-0.001483210989750729,0.0005331030895902083,0.0001334775764005914,0.0007983019356085571,0.0008291976979068997,3.537020494726613e-05,-2.000039420649423,8.722593670723067e-05,0.20056016714275718,5.530691691524202e-05,0.0003018616167537008
Var_of_avg,-0.0014832109897507286,1.5834630489918033e-06,0.00013347757640059122,1.6374062532746675e-06,0.0008291976979069,3.780229792112122e-07,-2.0000394206494225,1.0500454017961737e-06,0.20056016714275748,8.276986994224299e-07
Average_total_variance,0.0003018616167537008
