Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,0.0003816116136891529,2.8306320789951565e-05,0.0003516741491635689,0.00027799392571223054,9.123525315152458e-05,4.0366624338063485e-06,-1.9995412829716845,1.96886776268655e-05,0.2005581706565738,3.5039494396584776e-05,7.301301619188773e-05
intv,0.0017770874368955465,0.0012873490091825143,-0.0009546789093455245,0.0001925448391360031,0.00027348793840442545,2.105180455736547e-05,-2.001259285133319,0.0009438623098249149,0.2003219629270005,3.635482602938075e-05,0.0004962325577460358
ood_obsv,-0.0004091614818896089,3.7455607538678615e-06,-0.0008935147969545164,0.0013474402292169556,0.0004845586298011121,1.8148815820553338e-05,-2.0009506982157736,0.0006841084490650467,0.2029868722800324,0.001296944337124425,0.0006700774783961697
ood_intv,-0.0002797286194284537,1.692572171833668e-05,0.00020100219892228198,1.8173239437008083e-05,0.00016413104651104028,1.0768562316021193e-06,-1.999058406966081,6.371675643599061e-05,0.20136432630165232,1.3936432589446654e-05,2.276580128247683e-05
diff_mod,-0.0025091159887832173,0.001268195073041198,-0.0005508879673813227,0.00044365675665923376,4.076128294955167e-05,5.892570322549327e-07,-1.999950412334651,1.3318887725218237e-05,0.20050147352684203,7.298800158218027e-05,0.000359749595208017
rand_mod,0.000523906807623045,1.4520754237704637e-05,0.00018576923136714375,2.852211692044325e-05,0.0002656684326168952,1.8496128144346202e-05,-1.9979556463089352,0.0017823895564587993,0.20000264501359472,0.00011168063031667867,0.0003911218372155944
Total,-8.590003864892242e-05,0.0004381862727688069,-0.0002767726823713946,0.0003850138888731757,0.00021997376390575806,1.0587715044562989e-05,-1.9997859553217376,0.0005857630387066463,0.20095590845094932,0.000262151774302695,0.0003363405379391774
Var_of_avg,-8.590003864892254e-05,1.6791994815443178e-06,-0.00027677268237139485,2.9203769286221104e-07,0.00021997376390575822,2.1127674574913287e-08,-1.9997859553217403,1.2489325171737825e-06,0.20095590845094932,9.944872962452716e-07
Average_total_variance,0.0003363405379391774
