Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,-0.0004213335045859088,4.892126978202559e-05,0.0006552189533849694,1.4701121307229632e-05,9.873626153851079e-05,2.318358020048936e-06,-1.9999381436914436,7.771810218414421e-06,0.1994234200381999,1.551701302664604e-05,1.7845914470872923e-05
intv,-0.00021773846422819365,6.729381524035681e-05,0.0006484302146430068,2.578756965923982e-05,0.00030101547329116734,6.58427957659362e-06,-1.9992694568646865,1.029424524451152e-05,0.19930697034149047,5.799476792643226e-06,2.3151877302669004e-05
ood_obsv,-0.0007409168681962863,0.0007928176254724598,0.002271867030114087,0.0002461931814130818,0.0027117278640395605,0.0006152109153780673,-2.0027483077977477,0.000541982059394644,0.19843904281952504,0.00040564420363548985,0.0005203695970587485
ood_intv,-0.005666694402189126,0.0051975374475064715,-0.001020151072143121,8.164583026915662e-05,-7.227292240663782e-05,1.2588893788729213e-05,-1.9993257102027642,7.898216470940529e-05,0.19932441834272732,7.407974486365654e-06,0.0010756324621520254
diff_mod,-0.0008812796732593478,0.00046396579391237084,-0.00011032626856520141,0.0004091946269775977,-0.001695528443257939,0.00030180958783821023,-1.9984313379631957,4.2370007099298054e-05,0.19901958080947466,7.724566269691321e-05,0.000258917135704878
rand_mod,0.0042070868109882285,0.000535005030785088,0.011953488695313357,0.01200421636035792,-0.0005711585474876925,1.987260649611711e-05,-1.9985429623019266,0.00011241534714741609,0.19639483278786377,0.00010961731954385952,0.0025562253328660803
Total,-0.0006201460169117726,0.00119243250745283,0.0023997545921245157,0.0021495226138128092,0.00012875328095282774,0.0001614908776650534,-1.9997093198036286,0.00013440628422515204,0.19865137752321355,0.00010466385659066847,0.0007485032279493026
Var_of_avg,-0.0006201460169117722,8.175677003035408e-06,0.002399754592124516,1.9232832148772427e-05,0.0001287532809528282,1.7601041487588821e-06,-1.9997093198036275,2.103678589536281e-06,0.19865137752321352,1.1252482270155502e-06
Average_total_variance,0.0007485032279493026
