Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
0,2.234081664496581,0.1288327962416847,0.11545398544757922,0.11435195264822795,0.12614872688699208,0.9435315606551037,0.46021431096843346,0.13533592755076587 
1,0.0714962331006642,0.046954330617021256,0.05147229504550922,0.04530548291369461,0.039501991618516995,0.42734790131087264,0.31391555445513414,0.06247544479431042 
2,0.03985828647494076,0.037122047319480975,0.046517265291898764,0.03620440683810102,0.0280562035070119,0.36814326367612865,0.3585006284931241,0.05392787946460964 
3,0.029737450048824856,0.033516152196864886,0.046447514248997186,0.03524371202916612,0.04509471772229734,0.32371442452153976,0.4101493830584026,0.05609575993267311 
4,0.023410814725194184,0.020845966139131908,0.024666411656166985,0.022451582603874164,0.017097483757947174,0.2510916492289768,0.3499211499192853,0.03279403320473406 
5,0.01754083690078308,0.018899567426347068,0.02492647015283546,0.02003601406722666,0.024281719915769173,0.3012722576982895,0.32461602787686056,0.02931326089334263 
6,0.019707666301242585,0.027353234309665235,0.033405972529159556,0.029343752541037917,0.0512516864968184,0.2594226490293586,0.3235369772341281,0.03888142492349856 
7,0.015404683295910769,0.014198560344349322,0.017278547113058984,0.01584062222068221,0.012121855600650377,0.2913277777712674,0.31154315454152903,0.022493733753908885 
8,0.01093058081371992,0.019550349020278388,0.025622859810361238,0.02248065992993702,0.027853101236022047,0.3277089854530715,0.3210960143045966,0.030682098896578757 
9,0.013391708020979862,0.03107635043853923,0.0351398548590688,0.029003868487194495,0.014457636030303611,0.31221950858012837,0.3626349354924208,0.04212214855807752 
10,0.01165164574172884,0.02403892680183696,0.026428411139820886,0.024651300702464594,0.018173102014686294,0.3250279480564707,0.2962407724873984,0.0302722726018688 
11,0.015559016008575616,0.015103908535681962,0.0182998995793512,0.014714637407004183,0.010205891083170826,0.3353594129369039,0.31551086789263466,0.022087440109311816 
12,0.0108912970807234,0.012632946329976334,0.016891312845189323,0.01535445663989159,0.030356924071269907,0.34122620880451393,0.29815266193516415,0.021267080690018012 
13,0.008271902196142808,0.01123700768479827,0.01511278042167932,0.013065945413721103,0.015038069228437223,0.30805083277946615,0.2994644787337165,0.018261865369912478 
