Dataset,expression
obsv,((((d ^ 3.0707507) * 0.77437586) - d) + (a * ((a + b) ^ 1.3728589))) + a
intv,a + (((a + (d * d)) * (d - 0.9636989)) + exp(a))
ood,179.06836 + ((354.34576 * cos(b)) + ((128.53957 + c) * b))
ood_intv,(((d + (16.882706 * (cos(d * 0.61188316) + 1.7219396))) - b) / 0.07258526) + c
diff_mod,((((d * d) - d) * d) + (c * a)) + c
diff_mod_rand,(((d * d) - (d - a)) * d) + exp(a)
