Dataset,expression
obsv,((d * (((d * d) + a) - d)) + 2.9586024) + exp(a)
intv,(((a + ((d * d) - d)) + 0.39014214) * d) + exp(a)
ood,(7.1448026 * (8.50368 + (a + exp(b)))) + (a * a)
ood_intv,(((d + -1.9538331) * (d * d)) + 65.92963) + (a * (exp(2.013142) + a))
diff_mod,(((d - 0.38500458) ^ 3.0048902) + (c * (a + cos(-0.111503795)))) - -0.13164726
diff_mod_rand,(d * ((a + ((d * d) - -0.41852105)) - d)) + exp(a)
