Dataset,expression
obsv,(((d * d) - d) * d) + (((b + cos(0.40610552)) + a) * (a / 0.48930445))
intv,(-0.74264324 + ((((d * d) + (a - sin(0.8242172 + a))) ^ 1.5338912) * 0.77438474)) + sqrt(d)
ood,((d ^ 2.9733229) + (((a * a) - 16.575176) * b)) - -31.342556
ood_intv,25.737146 + (((d * d) + (a * a)) * (d - exp(cos(1.0177852))))
diff_mod,-0.57932085 + ((((a - 1.4825442) * 0.086690016) + d) ^ 2.9641743)
diff_mod_rand,exp(a) + ((d ^ 2.976065) - ((b - a) * d))
