Dataset,expression
obsv,(d * ((((d * d) + a) + 0.38776088) - d)) + exp(a)
intv,((((-0.9489815 + d) * d) + a) * d) + exp(a)
ood,((cos(b + 0.7779449) * ((26.47031 * d) + 133.02486)) - -459.07422) - e
ood_intv,(((d * (-98.42347 + (d * (1.4604813 * d)))) + 580.4416) + (97.61206 / b)) - 103.40863
diff_mod,(((-0.31741744 + d) ^ 2.992716) + (a * (d + (c - a)))) - cos(d)
diff_mod_rand,((sqrt(d) + (d * ((a + (d * d)) - d))) + exp(a)) - cos(a)
