Dataset,expression
obsv,(((((d + -0.97852606) * d) + a) * d) + exp(a)) + 1.0955157
intv,((d * (((d * d) - d) + a)) - -2.9783084) + exp(a)
ood,(c / 0.31960365) + (((sqrt(b ^ b) - -74.854614) * (0.30566424 + d)) + -299.00275)
ood_intv,(-14.117783 - ((exp(sin(sin(d + 0.6070368)) / 0.5481351) - (d * d)) - (a / 0.72045773))) / 0.10203382
diff_mod,sin(d) + (((a + (d * (d - cos(a * 0.25345924)))) * d) - -0.030841101)
diff_mod_rand,(d * ((a + (d * d)) - d)) + exp(a)
