Deep,Scaling,Intv,C_D,Independent,Simple,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss,best_epoch 
False,Raw_data,False,False,False,False,2.762773353672608e-05,4.505450968458212e-05,3.853773983542573e-05,4.568201807762762e-05,7.756265632087888e-05,85.8000452437076,705.8907992128613,4.9383543088993066e-05,142.76769881663228,1.9675087502150745e-05,972.0
False,Raw_data,True,False,False,False,0.0012495286769769,0.0066296357493411,0.0070795851958195,0.0369341673040502,0.0026376574903679,0.0116109265514371,0.6200024994855048,0.0007456918250059,0.0090010885020382,0.0003297943246745,982.0
False,Raw_data,True,True,False,False,0.0011052927434458,0.0033572604754658,0.0038737259873885,0.0053510930394035,0.0007476003983865,0.0132042426735479,0.3783364762017874,0.0018704410991344,0.0031762811092232,0.0005236706003065,985.0
False,Raw_data,False,False,True,False,0.0015569819723058,0.0072583186788032,0.0091557298090788,0.0072661731523337,0.0014452530821554,0.0065663110327041,0.0099654212072575,0.0135154988554329,0.0115590074044889,0.0022366472856306,917.0
False,Raw_data,False,False,True,True,1.8758199192950887e-05,2.900927127274509e-05,2.2309987373319017e-05,2.397948763837121e-05,2.2122730410046644e-05,2.104431122575079e-05,2.0298761524486507e-05,2.580941891368127e-05,5.095060239349891e-05,1.786290293159709e-05,854.0
False,Raw_data,False,False,False,True,3.247842552368776e-05,2.8414613414169156e-05,3.8081030136191255e-05,3.628403073776098e-05,3.1321589116032555e-05,5.610250689960594e-05,3.397765372477579e-05,4.315319537062834e-05,4.849675946093157e-05,2.0190780101984276e-05,591.0
False,MinMax,False,False,False,False,0.0002081127227394,0.0002783541179246,0.000279397593465,0.0005580095147527,0.0032555611717026,12.809876142079926,106.4220416146351,0.0006176614542945,21.236631647063906,9.294474448997632e-05,905.0
False,MinMax,True,False,False,False,0.0004611648521541,0.0014262998349891,0.0076641449644853,0.0060429237150307,0.0025487101458619,0.00518398357157,0.1806863936054531,0.0015923519606848,0.0081393377896818,4.743401997760604e-05,994.0
False,MinMax,True,True,False,False,0.000244146015665,0.0009016188196701,0.0014869253608528,0.0011420786637745,0.0010091979336538,0.0013158262268133,0.1345025593940612,0.0040391535489528,0.0031077924300177,4.0073444846691466e-05,913.0
False,MinMax,False,False,True,False,0.000661155210124,0.0040758851440141,0.0015736036016955,0.0019274388821463,0.0006196166153412,0.0029396881818533,0.0025680621790529,0.0110580454886812,0.0065176213379559,8.841240015765154e-05,623.0
