Dataset,expression
obsv,(((((d * d) - d) + 0.38606113) + a) * d) + exp(a)
intv,(((a + ((d * d) - d)) + 0.38777053) * d) + exp(a)
ood,((((c / 1.5355304) + d) * a) + ((d * (d - cos(0.024651378))) * d)) - 0.8250049
ood_intv,(a * (((a / 0.36396104) + (d + -0.96187764)) + 1.362819)) + ((d * (-0.96187764 + d)) * d)
diff_mod,c + (((c * a) - -0.39837304) + ((d ^ 2.9677756) + -31.659737))
diff_mod_rand,(((((d * d) - d) - -0.30981454) + a) * d) + exp(a)
