Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,-0.0002919849826168835,1.093530833380584e-05,-0.00038237535337036743,8.729352505449322e-06,0.000265822813266237,1.5944321659407157e-05,-1.9998292821387957,4.889817463893603e-06,0.19977217087480623,0.00015340381541012666,3.8780523074536516e-05
intv,-0.00018777593299810203,4.195501573317791e-06,0.00012490804409204546,3.9191355288788e-06,3.6569725037241916e-05,1.5579650882504085e-06,-1.9995678610608032,7.501928631178749e-07,0.2009657379623864,1.1492837070024879e-05,4.383126424717951e-06
ood_obsv,0.00022605486462022646,3.186292243264567e-05,0.00012201951341940974,2.1246040645850356e-05,-0.0004074371424010761,6.348385948801239e-05,-2.0000924034652834,9.648438227981147e-06,0.20160449731047614,5.948009181946722e-06,2.643785399528726e-05
ood_intv,-8.33313947660121e-05,1.766165051367754e-05,2.8677918590362196e-05,2.691661752348006e-06,0.000434593059314354,1.4470236373252744e-06,-1.9995959251803226,5.051173689780378e-06,0.20165222110594447,4.264991860508294e-06,6.223300290727899e-06
diff_mod,-0.0012966267847546664,0.00011203122398635194,0.00018172824106574143,2.9947955858909047e-06,7.832190886637502e-05,1.6094252194870045e-06,-1.999900283438779,1.5540267501803258e-06,0.20038157581385282,3.708257268245049e-05,3.1054408844872126e-05
rand_mod,0.001030530808785533,2.8500779563486573e-05,0.001392433544273102,0.0001711062040452657,0.0001358400988677493,4.941284126263525e-07,-1.9997733233573505,8.160061255881503e-06,0.20057782662138204,0.00013776244260360601,6.920472317617323e-05
Total,-0.00010052223695498421,3.467475880060155e-05,0.0002445653180117156,3.541295622314496e-05,9.06184104918135e-05,1.4156485907685197e-05,-1.999793179773556,5.041015303089857e-06,0.20082567161480816,5.877209215771572e-05,2.961146167844746e-05
Var_of_avg,-0.00010052223695498409,4.768610667206653e-07,0.00024456531801171557,2.984245458644285e-07,9.061841049181353e-05,6.703199016712272e-08,-1.9997931797735558,3.2063594617305864e-08,0.20082567161480802,4.4631402293858033e-07
Average_total_variance,2.961146167844746e-05
