Dataset,expression
obsv,(((d ^ 2.9671783) + exp(a)) - 33.197655) + ((c * 1.7230678) + d)
intv,(exp(a) + ((((d * d) + a) - d) * d)) + b
ood,0.13999349 + (((exp(b) + sqrt(exp(a))) * (sin(d) - -6.0200186)) - -74.20619)
ood_intv,((174.51271 + ((((d * d) + a) - 33.38421) * (d ^ 1.0563374))) + (a * a)) + 0.87068254
diff_mod,exp(0.9183801) + (d * (exp(-11.48084) + (((d - cos((a / -2.7396019) / -1.5590206)) * d) + a)))
diff_mod_rand,exp(a) + (d * ((d * d) - (d - a)))
