Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
20,1570.8102031187577,1268.3576877828714,1574.9358191389927,1479.762246850252,2984.1005239903666,2130.42271069422,1640.4435577017982,1629.5421472316607 
21,1583.8749661590114,1702.3921474875726,1807.8766529020697,1774.040652483888,1427.2531466353496,1769.8973827709851,2077.2685614737916,1816.613423347639 
22,1108.7111884897406,798.1993629340658,946.7494564497255,1083.129080207602,2045.9926339722122,1944.2329311142885,929.1267216690651,1124.3196993225954 
23,869.3644566969438,861.6706652224498,940.2570469538138,970.6408934000065,1878.2482068671554,2789.5119184099985,1143.8363066630322,1003.4727793080062 
24,780.0712332581029,549.2869959958867,663.9845579331749,669.2071705743962,2887.815496576621,3685.9130180262728,750.5765655783064,752.8103111667158 
25,529.4698458729368,414.6452453299814,464.52770978718763,439.2477722315845,2932.783859849733,3383.9418687051366,699.6893151018827,520.9183517860343 
26,534.2064519723257,826.0751825537221,1028.5743650218583,930.6903954431473,3157.5322289698347,4079.227724065422,860.7505433174199,985.8802463180713 
27,482.02644821369285,526.162419828313,607.9649212092692,629.1227883823012,3282.0757563218654,4957.741885229381,590.0823705013084,709.6697175725749 
28,415.1981046705535,298.5097288491365,332.1980355392289,318.1390513461432,2087.9303192666675,4617.00118711701,572.9481714082452,321.6853333759332 
29,362.06042874943125,1203.3397463370866,1322.7414642474903,1525.67701871061,4196.401160421874,6224.681359808909,849.3430506677869,1643.5558219311818 
30,524.9683965336193,304.6895325455415,327.6883356177746,285.0665371602692,1834.7135918541508,4584.242539304133,703.4856249938654,302.8562552924501 
31,323.8457618337689,234.84764421604794,245.32838607333704,234.73120832838248,2361.456861430807,5151.393543150799,516.5970970111294,237.60950159167405 
32,299.82221126556396,212.00926680612287,214.2785948830707,224.414117219489,2123.931972316385,4904.5049052189215,555.8984692577651,242.84003017265204 
33,282.65744483832157,573.5851736758422,567.5220258570334,408.8828396185039,2511.3518897830036,5252.757755947719,1386.3077761673485,411.73419764780283 
34,306.0277350021131,230.99628895480257,248.14799827384317,265.1252191582061,2625.3490471471764,5943.525321331154,447.9744357628486,258.2216151242872 
35,260.0667032328519,352.8406153806201,398.48280068712,394.5628034606663,3088.9857268751716,5984.659174066042,530.1282883434033,378.0694703721965 
36,238.13309434688452,207.6826618552667,232.81518029478178,245.6059373790762,1864.295059874395,5441.017795109935,424.81062508968824,275.82323821222593 
37,279.32144421519655,190.31589532395608,199.2233822971185,196.2045519968211,2097.176565321389,5820.347123571291,526.1841103730853,198.15395795530785 
38,196.58952843059194,198.2478154543302,201.71141768969633,199.4152607306205,1632.689645315928,4336.476913035179,393.2987541362876,205.9489456043986 
39,203.68956399686408,252.63628369070244,261.17534591940625,228.05863546579786,1797.0198434597348,4782.830375476753,429.5508298043804,259.196649318072 
40,503.9917237379334,228.2178604008554,222.35369537313494,209.06484830634727,1131.2102926707455,3851.409289603253,425.43072665260405,219.75938304214068 
41,181.41432639324304,159.193159189819,163.6860710319581,163.05848011227573,1774.2378606786253,4153.176191675518,413.8702349979612,174.93547818299794 
42,213.72610149961528,197.34780489657956,214.26134367092163,216.88511685356207,1718.6073716613669,4774.697803440493,381.81187132858975,220.1461004346682 
43,158.33894809087118,180.63997504768406,199.5874327120093,206.48956878773532,1545.7326321839964,3976.4783385313617,343.0409256545594,208.09481419791192 
