Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
0,6.585837058214978,2.0013124453298587,2.2445217730899265,2.165310802820693,41.86981263789516,35.686882621152925,9.696506255349323,4.009640649182683 
1,0.6725859526671808,0.09305413371677772,0.09362273887104461,0.09519488261349096,35.00807807517184,27.464712235604747,10.312433450126308,2.824689132827306 
2,0.06648391237390708,0.08878226512906037,0.09305417284321511,0.09229492051883312,52.25062162707061,39.28659472087318,8.972354142584937,2.5334583669449686 
3,0.05578660153939078,0.06222653350138785,0.05804860955731704,0.05748858079859644,51.785679152307544,37.24117953684417,8.952900737074597,2.5415391868353483 
4,0.12283786563784815,0.12318135613699452,0.11283707295317134,0.11977448556006197,50.34079282063911,36.93527682591885,9.47507158037643,2.652043711945521 
5,0.07926020753626345,0.027715112495094136,0.027616993151993223,0.0248056530250949,65.44200369178013,40.28197437463878,9.194734498938589,2.5192057358697535 
6,0.028284881255151988,0.024174356594208253,0.022056975041117255,0.01997498427092852,67.95523430363372,41.56379756545175,9.22205193907049,2.5337122737356466 
7,0.02567707781440042,0.03431980499522326,0.03591176566161103,0.035119203316774025,61.14185416485238,38.1214741418833,9.437690553078209,2.5528979302036947 
8,0.07760365157137682,0.11739687922055314,0.11343452617532535,0.11473182410328704,58.60593985244939,46.64643352387012,9.719255853302831,2.643380466515371 
9,0.08945101234889025,0.05708774952990817,0.05345285965392637,0.050390826372098727,62.15526505447935,46.34819170939364,8.938188784268982,2.435812998721453 
10,0.0775548036692657,0.09848742325715697,0.09377877264122089,0.09452318091122436,54.29618947840774,41.912791922211724,9.385470084259845,2.5551090894468707 
11,0.07073610803204108,0.0847539519629221,0.08058500301363362,0.08302468437897517,54.61088086436282,43.97402180405377,9.804678672184199,2.615709016819071 
12,0.08244814563306246,0.027883996741697184,0.027082804248827586,0.02588144171820055,71.16754396371374,41.24383107350313,9.268558382843668,2.4400243229016016 
13,0.02048822522435027,0.01712311982679064,0.01763030816433147,0.016618610184523774,67.3976729399343,41.21627454471418,9.363105357869289,2.44391444013615 
14,0.026941492934852387,0.07873510019879228,0.07953678102998414,0.07484384869924413,61.004587309197476,40.816556821328476,9.87112079186702,2.622733313351115 
15,0.040319302327892124,0.030862268865607154,0.031150736387009676,0.027868540381266092,60.911513637777894,41.715863114554494,9.41258911308732,2.48471209297395 
16,0.025180597571527345,0.021720170452118184,0.020746618787207183,0.018400212220503854,56.541792466420084,37.55449388555208,9.121208897147952,2.4251747675941 
17,0.015778868157323097,0.016317868666181172,0.01585847310715676,0.0157874529949237,55.94188880661789,36.3167454234293,9.239005644608936,2.4309753560398177 
18,0.13450829575242207,0.03190989838980861,0.03250488072286591,0.030198706462030066,52.86988643473225,35.93748565142378,9.074529691167127,2.4110192691995227 
19,0.020915226488079607,0.024206742286620415,0.022789998689693607,0.02251547791951882,46.024059742357394,34.30642048617756,9.454576448460706,2.4893055969536335 
20,0.02356983564051475,0.009183751233220584,0.00957115495635483,0.009082523854981206,52.15266821839386,33.66807823959353,9.242624585218143,2.4259119954502744 
21,0.016513496633375657,0.019852890261316328,0.0192839105818299,0.01687465413571232,56.46685751236714,35.433278998016974,8.663126010790412,2.328466376625129 
22,0.013417180178459437,0.01836856089499861,0.019318951886477958,0.017783196628074906,56.111495960194354,34.88659616040242,9.303654229859195,2.468423511205538 
23,0.03066794062871133,0.012024250047911324,0.011332282080226087,0.00864897933517481,47.759452335735816,33.785548138026776,8.820689319476116,2.3449314134703374 
24,0.030530614673228807,0.00985840987329577,0.010003754026202374,0.00944524983438555,48.29103510211586,33.023767751898134,9.190446666693342,2.421178229644206 
25,0.12481518931577518,0.12633203523484265,0.1143038001120939,0.12127285275931357,49.43097649137344,34.28458806354465,8.142512128397305,2.300051514733267 
26,0.03612121214025661,0.016065277035983015,0.01778005795112926,0.0156768209280581,46.07836641259421,31.013143925598524,8.997683848957491,2.394014887201641 
27,0.020863204796720918,0.021143920158153136,0.020303044403156098,0.02036808124454268,43.67544038759185,29.875149235976277,8.863957087088126,2.3576235545764623 
28,0.016183398474822752,0.015097631480785308,0.014599483452233584,0.014611315155644533,51.09259490999715,31.700508796286158,9.13988498303056,2.3993145895271333 
29,0.014555911718961204,0.043625400288552406,0.04153269241326206,0.042914152215067246,49.32369376207518,30.946022604571134,9.573388568845742,2.485745704628155 
30,0.06703929218267811,0.06339516654235193,0.06395096202394986,0.05401380183955666,38.9947588506369,25.869949566697105,8.468608257449254,2.2622735238462597 
31,0.07002044360640204,0.1744587937200303,0.17015925349428407,0.17982410150856368,57.66326182257974,30.26152645181485,9.787543335520361,2.6275527590949506 
32,0.03344152334069473,0.01263609004271777,0.012365413463020126,0.012247354129487497,51.579305414136165,30.522353641366134,8.820653581168811,2.2986905026376134 
33,0.02797273252574748,0.03370669076667908,0.031874705032609064,0.03133115145894046,48.244357064865326,32.344892109963986,8.846656505521885,2.305979666134634 
