Dataset,expression
obsv,(((((d * d) + a) + 0.38606113) - d) * d) + exp(a)
intv,exp(a) + (((((d * d) + a) + 0.4132829) - d) * d)
ood,(((d ^ 3.045965) + 192.59956) + (d * -36.67721)) + (sqrt(d) ^ a)
ood_intv,((((d * d) + a) + -27.323282) * d) + 164.48882
diff_mod,(((d ^ 2.9630656) - (((6.447033 - 13.471098) * a) - (a * c))) - 14.769035) + -12.725015
diff_mod_rand,(((d * d) + a) * (d - 0.9268658)) + exp(a)
