Dataset,expression
obsv,(exp(a) + (((((d * d) - d) - -0.23675549) + a) * d)) + (exp(cos(a)) ^ -1.5858867)
intv,(d * ((((d * d) - -0.36421803) - d) + a)) + exp(a)
ood,c + ((((b ^ 4.7876425) - -158.3557) - ((4.7876425 - d) * c)) / sqrt(b))
ood_intv,(249.00099 - (d * (48.265507 - a))) + (d ^ 3.0737708)
diff_mod,0.712393 * (((a + (3.1032033 - 0.1495924)) * c) + (((d ^ 3.1032033) - d) + cos(a)))
diff_mod_rand,exp(a) + ((((d - cos(-0.32560164)) * d) + a) * d)
