Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,3.485344796261708,0.003034328625223384,0.006828619543898042,0.000262237194194934,-0.001039002019256791,0.00045065356950509556,0.49109586967544816,0.00035613163490075906,-0.0020500435799907864,8.001301345514005e-05,0.0008366728074558625
intv,3.4895048175734242,0.001715402454918556,0.007668345529849008,0.0001017752533407807,0.0016177327727325698,2.9017043457063835e-05,0.494052820485416,9.739256500020227e-05,-0.0017757456648085286,4.049631868762499e-05,0.00039681672708084554
ood_obsv,3.4816702508869497,0.009912320850554634,0.009316455572959806,0.000309278017170885,0.0026306433160625748,0.00012937007573450175,0.4901772467158036,0.00034926728786801827,0.00822186002726691,0.003204198075252387,0.002780886861316085
ood_intv,3.487334174379041,0.002254948358161696,-0.0017137379206158157,0.002940484781703009,0.001551505444482289,4.47817470574765e-06,0.496568729970861,0.00042256643758554075,0.00148731617285362,0.00010683381312849647,0.001145862313056898
diff_mod,3.4867497460690005,0.0013690993967509432,-0.004790423291407973,0.004127816982507439,0.0032691443804759774,0.0006090859579334807,0.49981942808032775,8.804218168032508e-05,-0.008722521552871282,0.0025182951821237825,0.0017424679401991943
rand_mod,3.446850050188525,0.11663639641238888,0.0046734411000877865,0.006510133117267056,0.007859924616762453,0.0005755604362625409,0.4975807300057921,0.0007006329812671888,0.00844040463192233,0.011059586299176152,0.027096461849272363
Total,3.4795756392264403,0.022706897017688583,0.0036637834224618054,0.00240185691825911,0.0026483247518765116,0.00030692887858870026,0.49488247082227443,0.0003476160849377037,0.000933545005728711,0.0028714472533000143,0.005726949230554822
Var_of_avg,3.4795756392264416,0.00021981433468887986,0.003663783422461809,2.6569360561761653e-05,0.0026483247518765116,7.234668988961817e-06,0.49488247082227477,1.1943903554030738e-05,0.0009335450057287106,3.654346966275049e-05
Average_total_variance,0.005726949230554822
