Intv,Intv_info,C_D,Scaling,lr,best_epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
False,False,False,Raw_data,0.001,974.0,262.68693533810705,370.8078928646735,308.66819922636364,277.7288812082261,37966.90147739109,40980.49493946764,11297279.096844995,296.59877164135685,1839933.5637006017
True,False,False,Raw_data,0.001,973.0,579.061920895721,1331.5888394072342,1811.4001828212704,1775.2222496383824,126732.69176228756,23637.87628664821,10706.14999869205,480.1007124130148,1494.468589697918
True,False,True,Raw_data,0.001,986.0,486.05288682561934,631.6908363065062,1108.7929187286643,731.3503646493657,166196.6005940767,373483.4326751709,5145.648546720901,528.5556963501964,631.4309174082242
False,False,False,MinMax_all,0.001,981.0,0.0001063001989516,6.33459170292166e-05,6.07186904915433e-05,6.014086205382019e-05,9.439473548772058,12.473653465509416,7.20658245887404,7.11084299005682e-05,1.4049949696804196
True,False,False,MinMax_all,0.001,999.0,0.0001757717328993,0.0002146328221955,0.0002361039446139,0.0002347761367955,4.304160713202942,2.4029117255471646,0.0225406801335618,9.655630115212864e-05,0.0002935323554915
True,False,True,MinMax_all,0.001,972.0,0.0001491733131632,0.0001925244402238,0.0002431332764215,0.000259153081392,0.608592737582413,1.0893650673795492,0.0073524189458197,0.0002141451868994,0.0002446863451625
