Deep,Scaling,Intv,C_D,Independent,Avg_variance,Avg_exp_loss,Avg_model_loss
False,Raw_data,False,False,False,86.15728928409195,146.42634146822647,175.65208908879939
False,Raw_data,True,False,False,21.97349865074767,29.29911974667544,0.13624187530274195
False,Raw_data,True,True,False,76.44758042584075,101.21895073441108,0.11541411087374831
False,Raw_data,False,False,True,38.981145727927625,56.60164459618558,0.08172118297193151
False,MinMax,False,False,False,28.213593612805266,132.28263564591973,105.80420935815854
False,MinMax,True,False,False,0.006911132275644053,0.008479962266488832,0.10206465682706696
False,MinMax,True,True,False,0.0005989390197096952,0.0009905548051365612,0.039307201964958724
False,MinMax,False,False,True,19.07081897805334,25.40199483042394,0.010486736155223279
True,Raw_data,False,False,False,41.598411177286394,59.19810080492618,7.476586954722523
True,Raw_data,True,False,False,0.0005431245987431347,0.000801410771323742,0.0123384311722478
True,Raw_data,True,True,False,0.16096310976362285,0.21426593413124967,0.02280732825186384
True,Raw_data,False,False,True,42.86470418389749,57.14520338177488,0.00453413966413052
True,MinMax,False,False,False,13.801718783609964,106.48624727190807,50.04932244291638
True,MinMax,True,False,False,0.00021726125244628917,0.00029691678691363765,0.026897444948881123
True,MinMax,True,True,False,1.4634844040848114,1.9544096580364176,0.02802298100188298
True,MinMax,False,False,True,43.194121154602406,57.5321711113997,0.00490572710453588
