Dataset,expression
obsv,((b * ((d + -3.6260428) * -1.9435703)) + sqrt(e)) - -1.9435703
intv,sqrt(e) + ((4.0027947 - d) * d)
ood,sin(b) + (-0.23828304 * ((b ^ 3.4606137) - a))
ood_intv,((sin(-0.10136905 * d) * (d - 2.8697572)) * d) - (-0.04225014 * c)
diff_mod,sqrt(e) + ((((cos(a / 3.062308) - (d - exp(-1.328954))) * b) - 3.062308) - c)
diff_mod_rand,(d * (3.991476 - d)) + sqrt(e)
