Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,3.5067537157757958,0.11576351617676325,0.01565118968419371,0.0008932807315486333,0.001568515196665705,0.00040715490186500044,0.48496849133128367,0.004499783091784623,0.00019109595677416682,0.00014065840965237498,0.02434087866232278
intv,3.522262258903012,0.4161163042506898,0.004304917481899579,0.02290679167117497,0.00215917351191747,0.0018824188828744527,0.5080025976185696,0.3497269869446433,-0.0004832910725539557,0.00037049879414254754,0.15820060010870501
ood_obsv,3.493456688716391,0.007550568246205357,0.008573165528051246,0.00072912518843318,-0.0001307302364681336,0.0002614657008275864,0.4927280146192682,0.0006779268106482979,-0.08571781420218803,3.8982466446832618,0.7814931461258753
ood_intv,3.491750361702962,0.06689647082662414,0.01758189758866195,0.002524802848522994,0.0016677169255545682,2.320225267557554e-05,0.4902937667005261,0.002412127096601861,0.004735426927230431,0.007678753254559843,0.015907071255796885
diff_mod,3.573357578161944,3.3111424222798047,0.012066352574993063,0.0022852699059662095,0.0010227036702616878,0.0003697857432120734,0.4994510725783454,0.012680286109868582,-0.003521933419087634,0.008910057529456498,0.6670775643136616
rand_mod,3.5299938996148423,0.6304947622649066,0.037352637090907075,0.045905993374341876,0.001795454009786528,0.0006038974964201056,0.46053828293966365,0.3914225769122589,-0.0034356309949331635,0.006187166675034082,0.21492287934459237
Total,3.5195957504791604,0.7587655240024449,0.015921693324784422,0.01265186541919535,0.0013471388462863022,0.0005918710829435702,0.489330370964608,0.12712187500928243,-0.014705357800793024,0.6546051232768093,0.3107472517581351
Var_of_avg,3.5195957504791573,0.0007715166616122702,0.01592169332478444,0.0001109881325307127,0.0013471388462863044,5.502532977715253e-07,0.48933037096460946,0.00021859384831516868,-0.01470535780079303,0.0010161600524592064
Average_total_variance,0.3107472517581351
