Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,0.10668361910234918,0.04436174840815751,0.1000651254229242,0.01736434209387592,0.6758483139893998,0.0014454982707812639,-0.23340195895757185,0.007523711251073341,-0.0005761577510442512,5.9760435969841564e-05,0.014151012091971574
intv,0.057753999950876427,0.714544569617999,0.02380996976295823,1.2848800714062416,0.6859715355404928,0.12876309817198942,-0.1659135169557024,1.6265974810842412,0.0008700042392665871,0.0003722511097629464,0.7510314942780468
ood_obsv,0.11147693126619199,0.002046230895591107,0.12785805045136542,0.012209659169997951,0.6735961918557221,0.0021466428587323546,-0.2351127971621565,0.03548733764314712,-0.0071584190472787825,0.024603466531193635,0.015298667419732435
ood_intv,0.10768912860372301,0.004044732249730061,0.12334856329058194,0.013934652705206014,0.6774552480775604,0.0005002925034405087,-0.24415928506465082,0.004760888897147473,-0.0023840287492332,0.0015396798825428675,0.004956049247613384
diff_mod,-0.007876618442220849,4.749987780862073,0.0555598010301285,0.05590610227916561,0.6824625435166346,0.00044661595622294623,-0.20700981058084905,0.07724517045913226,0.0018570144429295031,0.0009401980344329882,0.9769051735182055
rand_mod,0.10128736770185504,0.24536940486031103,0.05629222231115703,0.017805508344642958,0.677188419955002,0.09175728520774575,-0.24166708196533687,0.2841748314994608,-0.0073409422738529686,0.008071264783522596,0.12943565893913664
Total,0.07950240469712909,0.961915469745203,0.08115562204485254,0.23516352082708947,0.6787537088224671,0.037527410479362464,-0.22121074178104452,0.3400559767945303,-0.0024554215232021853,0.005944299927643101,0.3161213355547657
Var_of_avg,0.07950240469712913,0.0018563919295593269,0.08115562204485255,0.0014801314939012647,0.6787537088224687,1.7504984543842924e-05,-0.22121074178104458,0.0007577399888294873,-0.0024554215232021853,1.3196464738951234e-05
Average_total_variance,0.3161213355547657
