Deep,Scaling,Intv,C_D,Independent,Avg_variance,avg_A,avg_B,avg_C,avg_D,avg_E,Avg_exp_loss,Avg_model_loss
False,Raw_data,False,False,False,0.3161213355547657,0.079502404697129,0.0811556220448525,0.6787537088224671,-0.2212107417810445,-0.0024554215232021,176.10409545898438,155.74311812619007
False,Raw_data,True,False,False,0.4624217292433162,3.5293355561246957,0.0021187447237149,-0.0016650474476066,0.4796082012971828,-0.0015511766363533,0.364138126373291,0.1085129081750289
False,Raw_data,True,True,False,0.1408796985331705,3.502845727287032,-0.0140081654806901,-1.3079932883455189e-05,0.4974552050893538,0.0031733834984876,0.07597313076257706,0.06686812791157798
False,Raw_data,False,False,True,0.0162947992979502,3.5058926807970554,-0.0010462450636189,0.0006427996873991,0.5019452666287695,0.0013025256409501,0.011966726742684841,0.008701203565186267
False,MinMax,False,False,False,2.846490206546921,2.1814577323230946,0.4521636565749407,0.2529667854214953,0.0068912709903265,-0.0256440565486032,30.468168258666992,23.412117003999736
False,MinMax,True,False,False,0.1581852136923923,3.489743364946225,0.0037265265192949,0.0015841687975547,0.4973888445071998,-0.0174579662447081,0.015458027832210064,0.03430248700628948
False,MinMax,True,True,False,0.0715901304233787,3.492176018457772,-0.0046618296216091,0.000728572875778,0.501360026796295,-0.0109084021008572,0.010645256377756596,0.024243575815725265
False,MinMax,False,False,True,0.0432207149932245,3.5026977748458594,0.0031516993917098,-0.0003627071064331,0.4995194099795946,0.0084479850558663,0.007208333816379309,0.004212772900763334
True,Raw_data,False,False,False,3.761484766105604,0.3430132725794058,0.0208845947756183,0.6489372049461488,-0.1481918728521309,0.0060443876553197,156.9539337158203,141.69208701241078
True,Raw_data,True,False,False,0.3107472517581351,3.5195957504791604,0.0159216933247844,0.0013471388462863,0.489330370964608,-0.014705357800793,0.025893088430166245,0.06378098310995954
True,Raw_data,True,True,False,0.2732994644658227,3.4873198024381757,0.0165631770695751,0.0009384975115057,0.4979272635239809,-0.0213694413628268,0.02297661080956459,0.035948450025617786
True,Raw_data,False,False,True,0.060252196425534,3.4965361276433238,-0.0014464320691452,-0.000548887219601,0.4999177456006182,-0.0098998652538133,0.016656439751386642,0.008774864643829384
True,MinMax,False,False,False,3.729001647882872,2.6706803937325745,0.3886893474784503,0.1528674896454924,0.1468154178337522,-0.0078399088109957,12.453843116760254,9.930130163416534
True,MinMax,True,False,False,0.0592357528247697,3.4843046090568137,0.0057643965974688,0.0004665460193074,0.4942833424894424,0.0025389551967594,0.01613563485443592,0.020574847470625532
True,MinMax,True,True,False,0.1312250390287917,3.498405821020701,0.0028982096305264,0.0012617931406789,0.4980342579816019,-0.0149130409977928,0.009010586887598038,0.01881080611149522
True,MinMax,False,False,True,0.0043000679497872,3.4985599404751744,0.0005346621736708,0.0001220368638859,0.5035570741705273,-0.0011854320008998,0.013175345957279205,0.009398800260999233
