Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,3.4974407384276356,0.014465998254644483,0.004410700764687828,0.0010705211444132308,0.0002732795926157131,4.973445749748464e-06,0.5028200741862618,0.00031321946680967766,0.0004728972501665493,0.0008911519703996891,0.003349172856403365
intv,3.505866305248881,0.025014028565825228,0.005174651553400396,0.007597092477777293,0.00015685253933124895,2.557711844888331e-05,0.5108455179544076,0.05400822726040717,-6.415444066747581e-05,0.0006329087663634369,0.0174555668377644
ood_obsv,3.4979381074065357,6.49724982761816e-05,-0.0006690361904682282,0.0025242163306761494,4.0541410430219735e-05,9.124011099104333e-06,0.5018398916407498,0.00034031216039330904,-0.007426539216788329,0.0096325848459539,0.002514241969279729
ood_intv,3.4975097506832915,0.00011254120857675525,-0.004031122778669214,0.00012756127002649516,1.0458042226916466e-05,1.3795641744361522e-06,0.5014078822854929,5.575361712626245e-05,0.00018248683687411367,0.0011835340270434972,0.00029615393738948923
diff_mod,3.494840052500193,0.004567330551815394,-0.0005545296485817756,0.0014125490675677727,0.0001868693072129325,3.5576290097371275e-07,0.50237909700651,0.00011900986586562446,-0.00036537338372917154,0.0014357321411461155,0.001506995477859176
rand_mod,3.497764688584489,0.0008275814143219012,-0.0011226906583441311,0.0012716562506311167,6.422029149874729e-05,4.607983398282194e-06,0.5020499819497461,0.0008731852963608986,8.809094874511774e-05,0.0001689090913897174,0.0006291880072203832
Total,3.4985599404751744,0.007520507939995006,0.0005346621736708157,0.0023443963594855627,0.00012203686388596322,7.678101601634268e-06,0.5035570741705273,0.009295766491248471,-0.0011854320008998654,0.0023319908566057004,0.004300067949787276
Var_of_avg,3.4985599404751713,1.1765857751658812e-05,0.0005346621736708126,1.0463602636891998e-05,0.000122036863885963,8.453973062910276e-09,0.5035570741705281,1.0815213421291052e-05,-0.0011854320008998658,7.854049556307254e-06
Average_total_variance,0.004300067949787276
