Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,3.5022542200712574,0.015951891526000524,-0.0005035578947881245,0.0020628203622025474,-0.002671158864553428,0.0006920120326360115,0.4980962694411411,0.0016411368711516572,0.0018632685833680736,5.145640016285358e-05,0.0040798634384307175
intv,3.4645492689585735,0.5746013945115147,-0.03015534397821479,0.0800940866232135,-0.0005778418675868001,0.00837077527850043,0.5322165540909187,0.4016492073404386,0.0022276767780993606,0.0002040196903658195,0.2129838966888066
ood_obsv,3.5038227048931665,0.0005571615118852984,-0.006766252896211569,0.003642192410759048,-0.001870896013925806,0.00037945278948082795,0.5027938802658157,0.0005691774156081404,0.01079901455978072,0.05466952930012362,0.011963502685571387
ood_intv,3.506150750650318,0.0015043029868120556,-0.008366530292173421,0.0006972864498877284,-0.0008648176972843557,4.10072791831609e-05,0.5016644168778992,0.0011517012047402922,0.0008165699527664247,0.0005007479407358407,0.0007790091722718155
diff_mod,3.5347621253133896,0.7525912580577493,-0.029282464694698463,0.05964941628427143,0.0013558180656596565,0.0004336489680654171,0.505827393965955,0.0024205316500435785,0.0011817482421024208,0.002550976457090012,0.16352916628344397
rand_mod,3.505535293835528,0.11220161248940204,-0.00897484312805424,0.04461163765480567,0.004550416780390007,0.05315245428715648,0.44413271589439524,2.035042970009572,0.002152022874809093,0.0071403873226622136,0.45042981235271967
Total,3.502845727287032,0.24331872626342013,-0.01400816548069011,0.03192390958008107,-1.3079932883455187e-05,0.01051726854941082,0.49745520508935387,0.40777384785942045,0.003173383498487678,0.010864740413520382,0.14087969853317056
Var_of_avg,3.5028457272870384,0.0004174560828600163,-0.014008165480690102,0.00013100294922437723,-1.3079932883454411e-05,5.710110240439479e-06,0.49745520508935415,0.0006947271108273815,0.0031733834984876822,1.1887561663689465e-05
Average_total_variance,0.14087969853317056
