Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,3.499999926917564,1.158660880385148e-11,0.0,0.0,0.0,0.0,0.4999996415948436,2.441990311847552e-11,0.0,0.0,7.2013023844654e-12
intv,3.4999922811544297,2.978539576298092e-08,0.0,0.0,0.0,0.0,0.5000005859112409,1.8880337182718568e-10,0.0,0.0,5.9948398269616215e-09
ood_obsv,3.5000000741390473,1.5806421242746935e-12,0.0,0.0,0.0,0.0,0.49999996895352056,4.2767780762657497e-11,0.0,0.0,8.869684577386439e-12
ood_intv,3.5000000883446325,3.997662043263721e-11,0.0,0.0,0.0,0.0,0.5000009341339126,1.0061550881612873e-10,0.0,0.0,2.811842584975319e-11
diff_mod,3.50000382842137,7.402216131570131e-09,0.0,0.0,0.0,0.0,0.4999997921071808,1.2217913698001446e-11,0.0,0.0,1.4828868090536265e-09
rand_mod,3.4999999693351387,6.313396671816049e-13,0.0,0.0,0.0,0.0,0.4999998623417101,9.000210597766792e-12,0.0,0.0,1.9263100529896793e-12
Total,3.499999361385362,6.2188661839205615e-09,0.0,0.0,0.0,0.0,0.5000001308404007,6.318824317890002e-11,0.0,0.0,1.2564108854198923e-09
Var_of_avg,3.4999993613853637,1.1968332991937807e-11,0.0,0.0,0.0,0.0,0.5000001308404013,2.1746170898941516e-13,0.0,0.0
Average_total_variance,1.2564108854198923e-09
