Dataset,expression
obsv,exp(a) + (((d * (d + -0.96911466)) + a) * d)
intv,((d - 0.91382504) * ((d * d) + a)) + exp(a)
ood,((b * ((d + -3.644994) / 0.039133385)) - ((a - c) * a)) + c
ood_intv,(d * (12.674869 * (d + -3.4391778))) + exp(a)
diff_mod,(((c * a) + (d * ((d + (0.40109962 - 1.3267945)) * d))) + c) - d
diff_mod_rand,(13.648953 * a) + ((d * d) * (-0.88957435 + d))
