Dataset,expression
obsv,(((2.2897677 * ((b - sqrt(b ^ 4.3858232)) - -3.0052643)) - (-0.035918508 / sqrt(e))) + sqrt(e)) + -0.2691793
intv,sqrt(e) + ((3.9980392 - d) * d)
ood,((b - (1.2449434 ^ d)) * 16.046654) - sin(d / -0.7252508)
ood_intv,((d * (6.4853396 - d)) - 16.24228) + (cos(-0.41352284 - d) / 0.34703574)
diff_mod,sqrt(e) - (d * (-3.9989767 + d))
diff_mod_rand,sqrt(e) + ((3.9984577 - d) * d)
